epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,102.415,1.12929,0.78549,1.15002,0.85888,0.87713,0.9472,0.60005,1.3705,0.71134,1.2165,0.000247472,0.000247472,0.000247472
68,103.892,1.12867,0.78141,1.13917,0.92319,0.88539,0.96899,0.60228,1.37334,0.6699,1.21801,0.000240404,0.000240404,0.000240404
69,105.408,1.15662,0.79614,1.15556,0.86673,0.90154,0.95488,0.5959,1.39523,0.70532,1.22401,0.000233335,0.000233335,0.000233335
70,106.973,1.14348,0.7808,1.13927,0.95841,0.95643,0.98013,0.59721,1.4457,0.61255,1.25643,0.000226267,0.000226267,0.000226267
71,108.481,1.12423,0.7826,1.14297,0.94911,0.91466,0.97561,0.60481,1.40499,0.64538,1.22874,0.000219198,0.000219198,0.000219198
72,109.973,1.12179,0.75271,1.13714,0.91327,0.91764,0.96589,0.61801,1.38652,0.67248,1.2217,0.000212129,0.000212129,0.000212129
73,111.489,1.15274,0.75518,1.13832,0.93618,0.90598,0.96235,0.60743,1.37345,0.67017,1.21543,0.000205061,0.000205061,0.000205061
74,112.982,1.15243,0.75474,1.15355,0.89193,0.92181,0.97205,0.60547,1.41736,0.67196,1.23189,0.000197992,0.000197992,0.000197992
75,114.47,1.09215,0.72418,1.13241,0.93036,0.95506,0.97066,0.60952,1.3911,0.60632,1.2317,0.000190924,0.000190924,0.000190924
76,115.986,1.12823,0.74523,1.1451,0.95299,0.88612,0.96668,0.60824,1.39838,0.6286,1.23659,0.000183855,0.000183855,0.000183855
77,117.459,1.11343,0.74821,1.13089,0.83871,0.94494,0.96938,0.60619,1.40163,0.66952,1.23656,0.000176786,0.000176786,0.000176786
78,118.951,1.12887,0.73639,1.13285,0.93286,0.90511,0.97396,0.6222,1.34991,0.62447,1.20983,0.000169718,0.000169718,0.000169718
